DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES;
BOL;BUN;145;825;3620749;
BOL;BUN;763;9093;38207454;
BOL;BUN;51;2510;10609360;
BOL;BUN;5;175;739427;
BOL;BUN;1097;11690;49903399;
BOL;BUN;421;1438;6311043;
BOL;BUN;510;9152;38619962;
BOL;BUN;953;3986;17142411;
BOL;BUN;34;350;1511140;
BOL;BUN;2;164;704339;
BOL;BUN;3;77;325072;
BOL;BUN;8;228;964493;
BOL;BUN;10;12;54657;
BOL;BUN;62;43;183690;
BRA;BOG;1000;10934;46075547;
BRA;BOG;21000;28623;122611044;
BRA;BOG;13500;3206;13211119;
BRA;BOG;45925;19946;87496320;
BRA;BOG;3600;396;1737117;
BRA;BOG;25375;7195;30573679;
BRA;BOG;24000;2688;11254682;
BRA;BOG;23400;2116;8944178;
BRA;BOG;100;440;1813072;
BRA;BOG;252;1134;4672783;
BRA;BOG;164;54378;229878028;
BRA;BOG;2;1973;8657073;
BRA;BOG;20;776;3298838;
BRA;BOG;1;16019;68066643;
BRA;BOG;102;9156;38906393;
BRA;BOG;18;5125;21792088;
BRA;BOG;2066;25537;108141272;
BRA;BOG;720;2673;11300658;
BRA;BOG;51;49;209992;
BRA;BOG;1323;42744;176132893;
BRA;BOG;77280;6970;29429909;
BRA;BOG;1;44872;185835033;
BRA;BOG;198;540;2285073;
BRA;BOG;2814;12295;51976732;
BRA;BOG;294;802;3392987;
BRA;BOG;3897;15192;64223565;
BRA;BOG;4381;14174;59919871;
BRA;BOG;1008;1780;7533616;
BRA;BOG;1105;4189;16985011;
BRA;BOG;8740;58643;237728133;
BRA;BOG;5023;28467;121012355;
BRA;BOG;24000;2712;11464681;
BRA;BOG;9200;1840;7823845;
BRA;BOG;160;616;2619287;
BRA;BOG;75;351;1492483;
BRA;BOG;3630;12410;52203176;
BRA;BOG;120;2430;10280382;
BRA;BOG;300;10377;44091873;
BRA;BOG;39;1729;7022271;
BRA;BOG;2;878;3828468;
BRA;BOG;3;1344;5861823;
BRA;BOG;83;8028;34137989;
BRA;BOG;109;6519;27721330;
BRA;BOG;1;1577;6875994;
BRA;BOG;375;12176;51313428;
BRA;BOG;20;1054;4485104;
BRA;BOG;60;1296;5384802;
